Point	Row	Column	a_Ang
1	1	1	4.0505276
2	1	2	4.0456533
3	1	3	4.0351019
4	1	4	4.025743
5	1	5	4.0363398
6	1	6	4.0353222
7	1	7	4.0300112
8	1	8	
9	1	9	4.0346613
10	1	10	4.0422578
11	1	11	4.0377336
12	2	1	4.0490127
13	2	2	4.045577
14	2	3	4.0476527
15	2	4	4.0467291
16	2	5	4.0464892
17	2	6	4.0436854
18	2	7	4.0421567
19	2	8	4.0374932
20	2	9	4.0443854
21	2	10	4.0447574
22	2	11	4.0491776
23	3	1	4.0501695
24	3	2	4.0511165
25	3	3	4.0452414
26	3	4	4.0488682
27	3	5	4.0451989
28	3	6	4.0440335
29	3	7	4.0448456
30	3	8	4.0422182
31	3	9	4.0423088
32	3	10	4.0438089
33	3	11	4.0409818
34	4	1	4.0453134
35	4	2	4.0376902
36	4	3	4.0276484
37	4	4	4.0440407
38	4	5	4.0556517
39	4	6	4.0451498
40	4	7	4.0420647
41	4	8	4.0376816
42	4	9	4.0418053
43	4	10	4.0490446
44	4	11	4.0496612
