Point	Row	Column	MaxInt_110
1	1	1	756.88867
2	1	2	822.435
3	1	3	879.80725
4	1	4	847.38391
5	1	5	854.78192
6	1	6	695.79883
7	1	7	645.19208
8	1	8	
9	1	9	511.21716
10	1	10	396.49985
11	1	11	379.50021
12	2	1	989.71191
13	2	2	1221.3289
14	2	3	1253.3875
15	2	4	1197.1379
16	2	5	1270.4845
17	2	6	1110.5428
18	2	7	1011.3339
19	2	8	940.76642
20	2	9	722.80713
21	2	10	545.47528
22	2	11	439.22159
23	3	1	944.6543
24	3	2	1192.7249
25	3	3	1129.7789
26	3	4	1067.7524
27	3	5	1098.9182
28	3	6	1018.8839
29	3	7	949.3252
30	3	8	803.58264
31	3	9	604.49591
32	3	10	529.42456
33	3	11	510.17279
34	4	1	682.36084
35	4	2	649.62891
36	4	3	666.49396
37	4	4	699.15222
38	4	5	578.86743
39	4	6	551.53149
40	4	7	538.38037
41	4	8	481.01773
42	4	9	404.56607
43	4	10	374.18695
44	4	11	407.43643
