Point	Row	Column	Pos_110
1	1	1	30.297318
2	1	2	30.289619
3	1	3	30.273565
4	1	4	30.259281
5	1	5	30.242329
6	1	6	30.222097
7	1	7	30.203941
8	1	8	30.190727
9	1	9	30.171589
10	1	10	30.140671
11	1	11	30.105734
12	2	1	30.311003
13	2	2	30.307568
14	2	3	30.296602
15	2	4	30.282438
16	2	5	30.255543
17	2	6	30.226765
18	2	7	30.18602
19	2	8	30.142427
20	2	9	30.147518
21	2	10	30.162403
22	2	11	30.153526
23	3	1	30.314999
24	3	2	30.31358
25	3	3	30.298733
26	3	4	30.279018
27	3	5	30.257233
28	3	6	30.195274
29	3	7	
30	3	8	
31	3	9	
32	3	10	30.019571
33	3	11	30.124294
34	4	1	30.303606
35	4	2	30.300192
36	4	3	30.287762
37	4	4	30.269337
38	4	5	30.260536
39	4	6	30.24588
40	4	7	30.220148
41	4	8	30.197487
42	4	9	30.195919
43	4	10	30.173641
44	4	11	30.152384
