Point	Row	Column	a_Ang
1	1	1	4.1670227
2	1	2	4.1680565
3	1	3	4.1702156
4	1	4	4.1721382
5	1	5	4.1744223
6	1	6	4.1771517
7	1	7	4.1796041
8	1	8	4.1813908
9	1	9	4.1839814
10	1	10	4.1881738
11	1	11	4.1929216
12	2	1	4.1651855
13	2	2	4.1656461
14	2	3	4.1671185
15	2	4	4.1690221
16	2	5	4.1726413
17	2	6	4.1765213
18	2	7	4.1820273
19	2	8	4.1879354
20	2	9	4.1872444
21	2	10	4.185226
22	2	11	4.1864295
23	3	1	4.164649
24	3	2	4.1648397
25	3	3	4.1668324
26	3	4	4.1694818
27	3	5	4.1724138
28	3	6	4.1807756
29	3	7	
30	3	8	
31	3	9	
32	3	10	4.2046781
33	3	11	4.1903977
34	4	1	4.1661782
35	4	2	4.1666365
36	4	3	4.1683064
37	4	4	4.1707845
38	4	5	4.1719689
39	4	6	4.1739435
40	4	7	4.1774144
41	4	8	4.1804767
42	4	9	4.1806884
43	4	10	4.1837034
44	4	11	4.1865845
