Point	Row	Column	Pos_111
1	1	1	
2	1	2	37.351055
3	1	3	37.297745
4	1	4	37.294498
5	1	5	37.278797
6	1	6	37.231949
7	1	7	37.206322
8	1	8	37.164425
9	1	9	
10	1	10	
11	1	11	
12	2	1	37.381985
13	2	2	37.382504
14	2	3	37.358326
15	2	4	37.320847
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	37.406704
24	3	2	37.383682
25	3	3	37.357758
26	3	4	37.328186
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	
34	4	1	
35	4	2	37.372772
36	4	3	37.370556
37	4	4	37.303284
38	4	5	37.311077
39	4	6	37.295147
40	4	7	
41	4	8	
42	4	9	
43	4	10	
44	4	11	37.141083
