Point	Row	Column	Frac_111
1	1	1	0
2	1	2	0.075343266
3	1	3	0.0877361
4	1	4	0.09939041
5	1	5	0.12193137
6	1	6	0.13682796
7	1	7	0.097501136
8	1	8	0.095567547
9	1	9	0
10	1	10	0
11	1	11	0
12	2	1	0.059413247
13	2	2	0.064137787
14	2	3	0.064739838
15	2	4	0.05543248
16	2	5	0
17	2	6	0
18	2	7	0
19	2	8	0
20	2	9	0
21	2	10	0
22	2	11	0
23	3	1	0.08493159
24	3	2	0.085413843
25	3	3	0.073927253
26	3	4	0.062326293
27	3	5	0
28	3	6	0
29	3	7	0
30	3	8	0
31	3	9	0
32	3	10	0
33	3	11	0
34	4	1	0
35	4	2	0.1269697
36	4	3	0.1327413
37	4	4	0.11440755
38	4	5	0.10928963
39	4	6	0.096068911
40	4	7	0
41	4	8	0
42	4	9	0
43	4	10	0
44	4	11	0.1518674
