Point	Row	Column	d_um
1	1	1	0.12543
2	1	2	0.13060001
3	1	3	0.13547
4	1	4	0.13778999
5	1	5	0.13749
6	1	6	0.13584
7	1	7	0.1323
8	1	8	0.12639999
9	1	9	0.12073
10	1	10	0.11312
11	1	11	0.10519
12	2	1	0.14922
13	2	2	0.15763
14	2	3	0.16503
15	2	4	0.16944
16	2	5	0.17231999
17	2	6	0.17087001
18	2	7	0.16774
19	2	8	0.16136
20	2	9	0.15375
21	2	10	0.14478999
22	2	11	0.13435
23	3	1	0.13728
24	3	2	0.14614999
25	3	3	0.15443
26	3	4	0.16041
27	3	5	0.1638
28	3	6	0.16404
29	3	7	0.16346
30	3	8	0.15942
31	3	9	0.15208
32	3	10	0.14490999
33	3	11	0.13522001
34	4	1	0.10162
35	4	2	0.10859
36	4	3	0.11357
37	4	4	0.11841
38	4	5	0.12199
39	4	6	0.12365
40	4	7	0.12317
41	4	8	0.12147
42	4	9	0.11856
43	4	10	0.11326
44	4	11	0.1075
