FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: FWHM of 200 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: Position of 200 peak ($\degree$),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba1.0O3,01204,1,1,1,4.090466,0.52263814,0.52481568,0.79622036,1855.8727,426.15643,265.01773,30.878353000000004,38.073048,44.152985,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,23_Nov_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.2,850,N,345.0,10,50.0,p-Si,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01204,2,1,2,4.089618700000001,0.52259475,0.48885947,0.72635621,1966.1273,543.4221200000001,262.94208,30.884909000000004,38.067471000000005,44.172245000000004,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,23_Nov_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.2,850,N,345.0,10,50.0,p-Si,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01204,3,1,3,4.090931899999999,0.52530581,0.45602128,0.77342796,1969.8977,676.44165,245.93427999999997,30.874747999999997,38.046638,44.15852,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,23_Nov_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.2,850,N,345.0,10,50.0,p-Si,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01204,4,1,4,4.0919008,0.53632671,0.42822534,0.73612195,1994.7742,763.40936,285.0484,30.867256,38.043403999999995,44.187279,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,23_Nov_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.2,850,N,345.0,10,50.0,p-Si,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01204,5,1,5,4.0933703999999995,0.54227209,0.43136987,0.65698862,2074.0791,789.78448,272.36935,30.855898,38.029185999999996,44.134541,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,23_Nov_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.2,850,N,345.0,10,50.0,p-Si,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01204,6,1,6,4.0946879,0.5379709,0.44912466,0.66387653,2166.4004,779.79346,252.37328,30.84572,38.018387,44.153774,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,23_Nov_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.2,850,N,345.0,10,50.0,p-Si,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01204,7,1,7,4.0958219,0.53571385,0.44375861,0.6460709,2114.4358,757.95929,271.38132,30.836969,38.010994000000004,44.117531,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,23_Nov_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.2,850,N,345.0,10,50.0,p-Si,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01204,8,1,8,4.0968184,0.54041713,0.45557356,0.7153914000000001,2042.384,712.71667,253.52136000000002,30.829280999999998,37.985535,44.093483,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,23_Nov_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.2,850,N,345.0,10,50.0,p-Si,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01204,9,1,9,4.0974035,0.52638406,0.47944131,0.71931016,2044.557,618.4769299999999,280.30847,30.82477,37.999928000000004,44.109287,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,23_Nov_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.2,850,N,345.0,10,50.0,p-Si,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01204,10,1,10,4.0989485,0.52290976,0.47027546,0.76853168,1958.9083,565.06195,264.12847999999997,30.812864,37.972313,44.085251,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,23_Nov_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.2,850,N,345.0,10,50.0,p-Si,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
