Point	Row	Column	FWHM_111
1	1	1	0.52481568
2	1	2	0.48885947
3	1	3	0.45602128
4	1	4	0.42822534
5	1	5	0.43136987
6	1	6	0.44912466
7	1	7	0.44375861
8	1	8	0.45557356
9	1	9	0.47944131
10	1	10	0.47027546
11	1	11	0.53796232
12	2	1	0.44291389
13	2	2	0.46305883
14	2	3	0.41595387
15	2	4	0.43371272
16	2	5	0.43928945
17	2	6	0.43333343
18	2	7	0.44004509
19	2	8	0.4403052
20	2	9	0.47504973
21	2	10	0.47968143
22	2	11	0.47728741
23	3	1	0.45443091
24	3	2	0.43828043
25	3	3	0.43543223
26	3	4	0.46307909
27	3	5	0.41968775
28	3	6	0.45455575
29	3	7	0.45681939
30	3	8	0.44964841
31	3	9	0.46004131
32	3	10	0.46375018
33	3	11	0.45003498
34	4	1	0.51659006
35	4	2	0.50600195
36	4	3	0.52707422
37	4	4	0.47708148
38	4	5	0.46935013
39	4	6	0.48934793
40	4	7	0.45988145
41	4	8	0.4503291
42	4	9	0.45968041
43	4	10	0.4782159
44	4	11	0.48029119
