Point	Row	Column	MaxInt_111
1	1	1	426.15643
2	1	2	543.42212
3	1	3	676.44165
4	1	4	763.40936
5	1	5	789.78448
6	1	6	779.79346
7	1	7	757.95929
8	1	8	712.71667
9	1	9	618.47693
10	1	10	565.06195
11	1	11	439.43616
12	2	1	711.65198
13	2	2	791.99371
14	2	3	942.34833
15	2	4	997.47327
16	2	5	955.47394
17	2	6	979.25372
18	2	7	919.1225
19	2	8	828.7937
20	2	9	733.76221
21	2	10	643.77057
22	2	11	581.71741
23	3	1	653.39703
24	3	2	809.00604
25	3	3	846.29749
26	3	4	849.79346
27	3	5	886.15472
28	3	6	799.39923
29	3	7	782.47308
30	3	8	717.07776
31	3	9	681.53986
32	3	10	575.41577
33	3	11	500.77588
34	4	1	396.75168
35	4	2	476.29065
36	4	3	530.5921
37	4	4	572.82166
38	4	5	582.51379
39	4	6	554.14862
40	4	7	520.86615
41	4	8	515.82849
42	4	9	466.25998
43	4	10	425.87259
44	4	11	379.37341
