Point	Fe_at
1	0.16210999
2	0.17101003
3	0.17921659
4	0.18811193
5	0.19711126
6	0.20411177
7	0.21148936
8	0.22181977
9	0.22702783
10	0.23574446
11	0.24300943
12	0.15639348
13	0.1646625
14	0.17252342
15	0.1804374
16	0.18937559
17	0.1966877
18	0.2032467
19	0.21216699
20	0.2178297
21	0.2259707
22	0.23365112
23	0.150677
24	0.15831497
25	0.16583024
26	0.17276287
27	0.18163994
28	0.18926363
29	0.19500403
30	0.20251423
31	0.20863158
32	0.21619694
33	0.22429281
34	0.14496049
35	0.15196744
36	0.15913707
37	0.16508834
38	0.17390427
39	0.18183957
40	0.18676136
41	0.19286147
42	0.19943345
43	0.20642316
44	0.21493451
45	0.13924401
46	0.1456199
47	0.1524439
48	0.15741381
49	0.1661686
50	0.1744155
51	0.1785187
52	0.1832087
53	0.19023532
54	0.1966494
55	0.2055762
56	0.1365944
57	0.14194171
58	0.14756054
59	0.15242845
60	0.15918133
61	0.16577139
62	0.16978343
63	0.17424057
64	0.18093064
65	0.1861143
66	0.19473669
67	0.13394479
68	0.13826351
69	0.14267717
70	0.14744307
71	0.15219407
72	0.15712731
73	0.16104817
74	0.16527244
75	0.17162597
76	0.17557921
77	0.18389718
78	0.1312952
79	0.13458531
80	0.13779379
81	0.14245769
82	0.14520679
83	0.1484832
84	0.1523129
85	0.15630431
86	0.1623213
87	0.1650441
88	0.17305768
89	0.13115732
90	0.13403034
91	0.13538717
92	0.13963524
93	0.14123626
94	0.14431076
95	0.14670773
96	0.15012278
97	0.15466154
98	0.158547
99	0.16670842
100	0.13101946
101	0.13347538
102	0.13298054
103	0.13681276
104	0.13726573
105	0.14013833
106	0.14110257
107	0.14394125
108	0.14700177
109	0.1520499
110	0.16035916
111	0.13088159
112	0.1329204
113	0.1305739
114	0.1339903
115	0.13329519
116	0.13596588
117	0.13549741
118	0.13775972
119	0.13934201
120	0.1455528
121	0.15400989
122	0.13074371
123	0.13236544
124	0.12816727
125	0.13116783
126	0.12932464
127	0.13179345
128	0.12989223
129	0.13157818
130	0.13168225
131	0.1390557
132	0.14766064
