Point	Ba_at
1	0.47610211
2	0.47629797
3	0.47939381
4	0.47758895
5	0.47897294
6	0.47824135
7	0.47811642
8	0.47733399
9	0.47761714
10	0.47605351
11	0.47468472
12	0.47779796
13	0.47634849
14	0.47873235
15	0.4765045
16	0.47722939
17	0.4762198
18	0.47625571
19	0.47617221
20	0.47635409
21	0.47469059
22	0.47239915
23	0.4794938
24	0.47639903
25	0.47807088
26	0.47542006
27	0.47548586
28	0.47419822
29	0.47439498
30	0.4750104
31	0.47509104
32	0.4733277
33	0.47011358
34	0.48118964
35	0.47644958
36	0.47740945
37	0.47433561
38	0.47374234
39	0.47217667
40	0.47253424
41	0.47384861
42	0.47382799
43	0.47196481
44	0.46782798
45	0.48288551
46	0.47650009
47	0.47674799
48	0.47325113
49	0.47199881
50	0.47015509
51	0.4706735
52	0.4726868
53	0.47256494
54	0.47060189
55	0.46554241
56	0.48270527
57	0.47696009
58	0.4755342
59	0.47234857
60	0.47181734
61	0.46897376
62	0.46950093
63	0.46932229
64	0.46963602
65	0.467767
66	0.46326184
67	0.48252502
68	0.47742006
69	0.47432041
70	0.47144598
71	0.47163588
72	0.46779242
73	0.46832836
74	0.46595776
75	0.46670711
76	0.46493211
77	0.46098131
78	0.48234481
79	0.47788006
80	0.47310659
81	0.47054341
82	0.47145441
83	0.46661109
84	0.46715581
85	0.46259326
86	0.4637782
87	0.4620972
88	0.45870075
89	0.48213091
90	0.47690171
91	0.47390276
92	0.47014722
93	0.46932805
94	0.46592066
95	0.46579957
96	0.46296525
97	0.46279138
98	0.46203217
99	0.45734626
100	0.48191702
101	0.47592336
102	0.47469893
103	0.46975106
104	0.46720171
105	0.4652302
106	0.46444333
107	0.46333724
108	0.46180457
109	0.46196714
110	0.45599177
111	0.48170316
112	0.47494501
113	0.4754951
114	0.4693549
115	0.46507534
116	0.46453977
117	0.46308711
118	0.46370924
119	0.46081775
120	0.46190211
121	0.45463729
122	0.48148927
123	0.47396666
124	0.47629127
125	0.46895874
126	0.46294901
127	0.46384931
128	0.46173087
129	0.46408126
130	0.45983094
131	0.46183705
132	0.4532828
