Point	Rp
1	21320000
2	17846000
3	8095000
4	11164000
5	7733600
6	10440000
7	8627000
8	8636000
9	11307000
10	8718000
11	9733000
12	14056000
13	8061000
14	44015000
15	7061400
16	8399000
17	7899000
18	7727300
19	6776200
20	9263000
21	11032000
22	8168000
23	8751000
24	5804500
25	5853700
26	5431500
27	5194200
28	1.60016e+08
29	4959100
30	6121200
31	6425000
32	7731000
33	6025000
34	7335000
35	5122000
36	4850100
37	5125800
38	4985800
39	3121910
40	4443000
41	5229700
42	5416700
43	6591900
44	6204900
45	5423700
46	4993500
47	4155600
48	4359334
49	4013100
50	3499000
51	4067410
52	4041400
53	5282100
54	6194000
55	6233000
56	2117600
57	3919800
58	3498930
59	4111240
60	2960600
61	2537650
62	2676300
63	3681390
64	3880000
65	6115600
66	6076500
67	4856100
68	2797400
69	3501400
70	46320000
71	2687446
72	2443300
73	2312090.5
74	3109050
75	5570700
76	5222000
77	6147000
78	5021600
79	4246800
80	3691710
81	3657400
82	2703960
83	2346790
84	2373120
85	3408330
86	4656800
87	5646600
88	6693000
89	4858200
90	4996100
91	4633000
92	4270800
93	4433400
94	3691800
95	3401800
96	3287400
97	4141000
98	5512700
99	7043900
100	6110000
101	6838800
102	6881000
103	5994700
104	6695700
105	7223500
106	6196700
107	5885000
108	6408000
109	8573000
110	9666000
111	5725000
112	6250000
113	8167000
114	8700000
115	8255000
116	9157000
117	9707000
118	9322000
119	11503000
120	13755000
121	14148000
122	8396000
123	6876000
124	9600000
125	10982000
126	9795000
127	11508000
128	11088000
129	13515000
130	13846000
131	16648000
132	19501000
