Point	Rp
1	29412000
2	27750000
3	19476000
4	18668000
5	14899000
6	15240000
7	12624000
8	13479000
9	15442000
10	18229000
11	18407000
12	20279000
13	15743000
14	12369000
15	12298000
16	16957000
17	15781000
18	13218000
19	10928000
20	12249000
21	14880000
22	11490000
23	15725000
24	10648000
25	10040000
26	10326000
27	9959000
28	9037900
29	8690000
30	9672000
31	11031000
32	11688000
33	11571000
34	11363000
35	8220000
36	62805000
37	8137300
38	7650200
39	5114500
40	6698300
41	6039100
42	8453000
43	9446000
44	9835000
45	11213000
46	7613764
47	7479600
48	6828700
49	5730000
50	5266250
51	6056300
52	7117500
53	8989000
54	8319000
55	10076000
56	4785000
57	7574000
58	6607600
59	6707203
60	6243700
61	4860400
62	5222200
63	6676400
64	7258800
65	9718000
66	10882000
67	9628000
68	7478000
69	6512800
70	6576332
71	5377500
72	4535140
73	18182000
74	5586008.5
75	8758000
76	9622000
77	9656900
78	9966000
79	8075000
80	6962700
81	6983900
82	7146000
83	5000800
84	4480930
85	6110950
86	8217200
87	11337000
88	13089000
89	8434500
90	7244000
91	9280000
92	8738700
93	9227300
94	7693600
95	6825310
96	7882300
97	9386000
98	11206000
99	15038000
100	11357000
101	13357000
102	13658000
103	13104000
104	13058000
105	13598000
106	13047000
107	12970000
108	12796300
109	16843000
110	24241000
111	13906000
112	14069000
113	16431000
114	19095000
115	16586000
116	18963000
117	20601000
118	19992000
119	22151000
120	28186000
121	31090000
122	15359000
123	16088000
124	18659000
125	25743000
126	20386000
127	23876000
128	27190000
129	27660000
130	30782000
131	30618000
132	48360000
