Point	ASR
1	2637836
2	2768337.8
3	2768149.2
4	2939931.2
5	2247964.8
6	1916966.8
7	2394488.5
8	2738461.2
9	2869245.5
10	3288616.5
11	2862082.8
12	2740786
13	2311896
14	1695296.2
15	1565234.4
16	1757719.6
17	1238100.6
18	1734440.4
19	1490370.2
20	2616002
21	3246424.8
22	2628599.8
23	1464609.2
24	1362758.9
25	1270050.6
26	1403034.1
27	1297351
28	1435706.6
29	1577078.1
30	1673210.9
31	1662215.2
32	2707736.5
33	3033236.5
34	1373817.2
35	1408374.8
36	1145423.8
37	1138260.9
38	914202.69
39	873362
40	1125317.5
41	1320096.1
42	1540007.4
43	2364517.8
44	2488453.5
45	1099022.4
46	1396908
47	1153057.8
48	999968.12
49	717853.31
50	933711.94
51	942288.5
52	1006565.4
53	1191290.9
54	1643994
55	2387922.5
56	438188.97
57	1168043.1
58	1055637.1
59	918286.75
60	804875.38
61	639125.06
62	749897.56
63	855360.69
64	1193175.9
65	1962080
66	2560710
67	900159.81
68	1172127.2
69	943073.88
70	744242.69
71	637522.88
72	583267.62
73	497376.53
74	689264.88
75	1370110.2
76	2050233
77	2666424.5
78	914893.81
79	1050484.9
80	919857.56
81	845716
82	734817.88
83	613395.44
84	673242.75
85	742043.56
86	1385441.2
87	3014669.8
88	3263232.2
89	1075680.4
90	1382990.8
91	1584115.4
92	1322829.2
93	1081241
94	1087618.5
95	1080832.6
96	983946
97	2067511.8
98	3266625.2
99	3746032
100	1202098
101	1961483.1
102	2829033.2
103	2204453.8
104	1962268.5
105	2071878.6
106	1799502.8
107	2250132.5
108	3814707
109	5617100
110	6543837.5
111	1774118.8
112	1803901
113	2035436.1
114	1696144.5
115	2588670.2
116	2636673.8
117	3192483.8
118	3360873
119	4966539.5
120	7247239.5
121	10366619
122	119977.32
123	2813733.8
124	3273693.8
125	4080611.2
126	3260090.8
127	3996228.2
128	4170460.8
129	365850.09
130	5065185.5
131	7847377.5
132	13638585
