Point	Co_at
1	0.21274987
2	0.19719291
3	0.18434227
4	0.17203416
5	0.15948524
6	0.14769024
7	0.13706329
8	0.12940164
9	0.12162206
10	0.1159819
11	0.11209568
12	0.21410027
13	0.1996474
14	0.18689042
15	0.17427529
16	0.16151661
17	0.15004051
18	0.13913549
19	0.1312964
20	0.1238764
21	0.117954
22	0.11400421
23	0.21545069
24	0.2021019
25	0.18943858
26	0.17651644
27	0.16354796
28	0.15239076
29	0.1412077
30	0.13319117
31	0.12613074
32	0.1199261
33	0.11591274
34	0.21680109
35	0.20455641
36	0.19198674
37	0.17875758
38	0.16557933
39	0.15474103
40	0.1432799
41	0.13508594
42	0.12838508
43	0.1218982
44	0.11782127
45	0.21815149
46	0.2070109
47	0.1945349
48	0.18099871
49	0.1676107
50	0.1570913
51	0.1453521
52	0.1369807
53	0.13063942
54	0.1238703
55	0.1197298
56	0.21652994
57	0.20465054
58	0.19270204
59	0.17954791
60	0.16728397
61	0.15613143
62	0.1449952
63	0.13738994
64	0.130757
65	0.12462917
66	0.12058013
67	0.21490836
68	0.20229018
69	0.19086917
70	0.1780971
71	0.16695723
72	0.15517157
73	0.1446383
74	0.13779917
75	0.1308746
76	0.12538803
77	0.12143046
78	0.2132868
79	0.19992982
80	0.18903629
81	0.17664631
82	0.16663051
83	0.1542117
84	0.1442814
85	0.13820842
86	0.1309922
87	0.1261469
88	0.12228079
89	0.20822287
90	0.19590361
91	0.18461309
92	0.17271116
93	0.1624309
94	0.15139376
95	0.14221384
96	0.13652775
97	0.12987044
98	0.1252632
99	0.12086216
100	0.20315892
101	0.19187741
102	0.18018989
103	0.16877604
104	0.15823129
105	0.14857583
106	0.14014627
107	0.13484707
108	0.12874867
109	0.1243795
110	0.11944353
111	0.19809498
112	0.18785121
113	0.17576671
114	0.16484091
115	0.15403168
116	0.14575788
117	0.1380787
118	0.13316642
119	0.12762691
120	0.1234958
121	0.1180249
122	0.19303104
123	0.18382499
124	0.17134351
125	0.16090576
126	0.14983208
127	0.14293994
128	0.13601114
129	0.13148575
130	0.12650515
131	0.1226121
132	0.11660627
