Point	Rp
1	17546000
2	27606000
3	25130000
4	24082000
5	23934000
6	22037000
7	24126000
8	21398000
9	22435000
10	24864000
11	27860000
12	23665000
13	23925000
14	21283000
15	25820000
16	28986000
17	18754000
18	22764000
19	19095000
20	21533000
21	24649000
22	23541000
23	21873000
24	19721000
25	24783000
26	22649000
27	19340000
28	16270000
29	16130000
30	17708000
31	20523000
32	23082000
33	21700000
34	20068000
35	15352000
36	14661000
37	14465000
38	14055000
39	10473200
40	12094000
41	13511000
42	20690000
43	19419000
44	18748000
45	17393000
46	14456000
47	12784000
48	14550000
49	11499000
50	8758400
51	9775000
52	12531000
53	16569000
54	17451000
55	20222000
56	12738000
57	11865000
58	9250000
59	10747000
60	8733000
61	7230400
62	9286000
63	12287000
64	14333000
65	19748000
66	22050000
67	13605000
68	12189000
69	9933000
70	79061000
71	7375188.5
72	6941800
73	7525000
74	9931500
75	18604000
76	19554000
77	22624000
78	14186000
79	13870000
80	10820000
81	10481000
82	9049000
83	7908000
84	8397900
85	11771000
86	16423000
87	22158000
88	25677000
89	13933000
90	17265000
91	14897000
92	14250000
93	14775000
94	14569000
95	12538000
96	14496000
97	17279000
98	20821000
99	29751000
100	20772000
101	22777000
102	25990000
103	25988000
104	25487000
105	25790000
106	25920000
107	23660000
108	25724000
109	33120000
110	43339000
111	25770000
112	22835000
113	27942000
114	34797000
115	36221000
116	40326000
117	39350000
118	38220000
119	43470000
120	55430000
121	61439000
122	30840000
123	31715000
124	33021000
125	54350000
126	66350000
127	54678000
128	52712000
129	63790000
130	63420000
131	60898000
132	7564256
