Point	Rp
1	10991000
2	9716000
3	5294000
4	5328000
5	6883000
6	8122000
7	6456000
8	6097000
9	6710000
10	7366000
11	5951200
12	7959000
13	6720700
14	5423000
15	5476000
16	5266000
17	5851000
18	5392000
19	5197000
20	5931000
21	6576000
22	5923000
23	8725000
24	5237000
25	4595300
26	4359300
27	4130390
28	3860800
29	4536100
30	5585000
31	5887900
32	6036000
33	7668000
34	7780000
35	4703800
36	3942200
37	4133500
38	3174780
39	3480560
40	3572500
41	4000600
42	4970900
43	5909900
44	6843000
45	6847000
46	4881800
47	3918700
48	2994300
49	3292000
50	3228500
51	2473940
52	4067300
53	4629000
54	5851000
55	5917000
56	5157000
57	3437800
58	3105200
59	2683600
60	2639400
61	1932490
62	2258100
63	8714000
64	3984700
65	6712000
66	8764000
67	5224000
68	3975700
69	3012600
70	2798100
71	1959172.4
72	1868220
73	2248200
74	2785410
75	5023700
76	6459000
77	7343000
78	5694200
79	4703000
80	3488206
81	3089400
82	2699790
83	2464901
84	3123200
85	5154000
86	5801900
87	7765000
88	8133000
89	6206500
90	5148300
91	4519000
92	4004300
93	3912170
94	3975013.8
95	3733700
96	3966100
97	4654200
98	6550000
99	8162000
100	7206000
101	6712000
102	8032100
103	6731000
104	6764400
105	7342000
106	7491100
107	7918000
108	7397000
109	10014000
110	13313000
111	8180000
112	9012000
113	11644000
114	11158000
115	12891000
116	14572000
117	11612000
118	16743000
119	19325000
120	22019000
121	21387000
122	8914000
123	10883000
124	14088000
125	17751000
126	17737000
127	20182000
128	22090000
129	24703000
130	27453000
131	31460000
132	39907000
