Point	Rp
1	4555600
2	4308000
3	3216300
4	3205900
5	3595000
6	3621000
7	4326500
8	4484600
9	4913400
10	5485200
11	4491700
12	4895800
13	4080800
14	2867800
15	2788900
16	3571000
17	2755800
18	2499900
19	2813000
20	3283200
21	3854900
22	3875000
23	4056200
24	3287200
25	3112400
26	2709300
27	2674400
28	2669000
29	2422784
30	2775800
31	2825900
32	4265600
33	3031800
34	3729400
35	2777900
36	2778005
37	3788000
38	1689800
39	5979000
40	2144230
41	2232900
42	2320400
43	3057000
44	2884500
45	2550616
46	2339000
47	2441400
48	2149700
49	9655000
50	1261350
51	1695382.2
52	2022440
53	2470400
54	2764500
55	3365000
56	2167910
57	1544570
58	2777000
59	1846300
60	2123200
61	981884
62	1309900
63	1628930
64	2164100
65	2948200
66	3727700
67	2263100
68	1629300
69	1382481
70	16571000
71	931401.62
72	758620
73	995180
74	1334620
75	2077683
76	2662900
77	3074200
78	2081700
79	1653080
80	1361830
81	1151020
82	1.9995741e+08
83	862150
84	1051610
85	1901800
86	2005790
87	2677000
88	3528000
89	2338800
90	1985200
91	1742000
92	3466000
93	6748000
94	4173000
95	1460008.5
96	1637530
97	1970700
98	2625000
99	3646100
100	2628000
101	2407020
102	2610400
103	2283800
104	2441800
105	2529400
106	2460760
107	2813400
108	3147200
109	3883400
110	5611000
111	2970700
112	2936000
113	3547900
114	3953200
115	3385500
116	4053200
117	4980000
118	4904000
119	5880000
120	7399000
121	8180000
122	3400800
123	3526440
124	3879190
125	6368800
126	7204400
127	6140000
128	5268000
129	7380000
130	9208000
131	7447000
132	15641000
