Point	Row	Column	_s_Area
1	1	1	0.33637545
2	1	2	0.3364667
3	1	3	0.3372016
4	1	4	0.33761534
5	1	5	0.33952942
6	1	6	0.34221524
7	1	7	0.3478584
8	1	8	0.3517589
9	1	9	0.35527179
10	1	10	0.37060019
11	1	11	0.37813729
12	2	1	0.336077
13	2	2	0.33574799
14	2	3	0.34081754
15	2	4	0.3403877
16	2	5	0.33993706
17	2	6	0.340294
18	2	7	0.34582126
19	2	8	0.3477836
20	2	9	0.35457644
21	2	10	0.36790684
22	2	11	0.3817879
23	3	1	0.35244185
24	3	2	0.3538518
25	3	3	0.34950471
26	3	4	0.3515926
27	3	5	0.35065457
28	3	6	0.3512226
29	3	7	0.3549422
30	3	8	0.35471213
31	3	9	0.3630285
32	3	10	0.37062687
33	3	11	0.39862055
34	4	1	0.3425253
35	4	2	0.34658045
36	4	3	0.34600061
37	4	4	0.3492789
38	4	5	0.35154235
39	4	6	0.3539637
40	4	7	0.3602989
41	4	8	0.36659706
42	4	9	0.36730087
43	4	10	0.38042659
44	4	11	0.39748499
