Point	Row	Column	d_um
1	1	1	0.14805999
2	1	2	0.15166999
3	1	3	0.15036
4	1	4	0.14751001
5	1	5	0.13992
6	1	6	0.12985
7	1	7	0.11793
8	1	8	0.10566
9	1	9	0.093259998
10	1	10	0.081270002
11	1	11	0.072439998
12	2	1	0.13287
13	2	2	0.13631999
14	2	3	0.13625
15	2	4	0.1345
16	2	5	0.12943999
17	2	6	0.12216
18	2	7	0.11179
19	2	8	0.10094
20	2	9	0.089620002
21	2	10	0.079149999
22	2	11	0.069080003
23	3	1	0.092929997
24	3	2	0.094899997
25	3	3	0.09646
26	3	4	0.095059998
27	3	5	0.093120001
28	3	6	0.088979997
29	3	7	0.083010003
30	3	8	0.07745
31	3	9	0.070600003
32	3	10	0.064070001
33	3	11	0.057539999
34	4	1	0.12657
35	4	2	0.12755001
36	4	3	0.12545
37	4	4	0.12183
38	4	5	0.11492
39	4	6	0.10657
40	4	7	0.096239999
41	4	8	0.086220004
42	4	9	0.077550001
43	4	10	0.068089999
44	4	11	0.060350001
