Point	Row	Column	Zr_at
1	1	1	0.10844401
2	1	2	0.1088301
3	1	3	0.1064478
4	1	4	0.10946951
5	1	5	0.10976151
6	1	6	0.10147321
7	1	7	0.094325997
8	1	8	0.096983202
9	1	9	0.0884725
10	1	10	0.083141103
11	1	11	0.090304099
12	2	1	0.1042869
13	2	2	0.1054725
14	2	3	0.10016541
15	2	4	0.099854499
16	2	5	0.10672669
17	2	6	0.1017549
18	2	7	0.095928289
19	2	8	0.0984703
20	2	9	0.094068706
21	2	10	0.080372907
22	2	11	0.0687126
23	3	1	0.094949506
24	3	2	0.0934745
25	3	3	0.097539298
26	3	4	0.094372697
27	3	5	0.09782739
28	3	6	0.095268101
29	3	7	0.087949596
30	3	8	0.09211161
31	3	9	0.075130299
32	3	10	0.075965092
33	3	11	0.054232504
34	4	1	0.1053225
35	4	2	0.10239031
36	4	3	0.099493198
37	4	4	0.0967118
38	4	5	0.098899387
39	4	6	0.094095498
40	4	7	0.090729199
41	4	8	0.078918494
42	4	9	0.077497393
43	4	10	0.068124399
44	4	11	0.0659592
