Point	Row	Column	FWHM_110
1	1	1	0.4925696
2	1	2	0.48774552
3	1	3	0.54896921
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	0.60101217
9	1	9	0.56440848
10	1	10	0.5759021
11	1	11	0.67238528
12	2	1	0.50919062
13	2	2	0.52659941
14	2	3	0.6228562
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	0.55785674
22	2	11	0.54679042
23	3	1	0.51981741
24	3	2	0.51297385
25	3	3	0.54285377
26	3	4	0.59606743
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	0.56488281
33	3	11	0.60519093
34	4	1	0.52127421
35	4	2	0.52434856
36	4	3	0.50820225
37	4	4	0.51607186
38	4	5	0.51867783
39	4	6	0.52761674
40	4	7	0.54687279
41	4	8	0.568057
42	4	9	0.60958707
43	4	10	0.56866306
44	4	11	0.60681075
