Point	Row	Column	MaxInt_110
1	1	1	3532.3752
2	1	2	3246.082
3	1	3	1863.2612
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	370.62012
9	1	9	1209.5752
10	1	10	916.12415
11	1	11	721.02649
12	2	1	3348.2939
13	2	2	2806.4341
14	2	3	1010.9077
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	927.1922
22	2	11	1291.864
23	3	1	3243.2429
24	3	2	3051.4854
25	3	3	2458.3364
26	3	4	1499.2631
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	1225.424
33	3	11	1288.4646
34	4	1	2151.8645
35	4	2	2309.4326
36	4	3	2488.1055
37	4	4	2511.2354
38	4	5	2327.9045
39	4	6	2133.9109
40	4	7	1728.4789
41	4	8	1301.2692
42	4	9	900.35693
43	4	10	795.56146
44	4	11	902.87866
