Point	Row	Column	a_Ang
1	1	1	4.1920981
2	1	2	4.2004147
3	1	3	4.2033935
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	4.2081361
9	1	9	4.1975636
10	1	10	4.1954193
11	1	11	4.1980033
12	2	1	4.1990747
13	2	2	4.2024565
14	2	3	4.2089782
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	4.1995883
22	2	11	4.197988
23	3	1	4.1892905
24	3	2	4.194757
25	3	3	4.1985507
26	3	4	4.2009959
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	4.1952085
33	3	11	4.1914182
34	4	1	4.1885362
35	4	2	4.1865902
36	4	3	4.1845345
37	4	4	4.1822367
38	4	5	4.1844411
39	4	6	4.1836376
40	4	7	4.1825724
41	4	8	4.1875482
42	4	9	4.1897492
43	4	10	4.1873255
44	4	11	4.1835508
