Point	Row	Column	FWHM_110
1	1	1	0.49656796
2	1	2	0.54055166
3	1	3	0.49849188
4	1	4	0.51004982
5	1	5	0.50535452
6	1	6	0.52229095
7	1	7	0.53223181
8	1	8	0.57529777
9	1	9	0.47674039
10	1	10	0.45500931
11	1	11	0.45013806
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	0.47280499
17	2	6	0.50027049
18	2	7	0.52030218
19	2	8	0.55623418
20	2	9	0.54474258
21	2	10	0.48907033
22	2	11	0.47406197
23	3	1	0.50016069
24	3	2	0.52786666
25	3	3	0.49191388
26	3	4	0.48765492
27	3	5	0.49125275
28	3	6	0.51817435
29	3	7	0.53988481
30	3	8	0.57657856
31	3	9	0.5572207
32	3	10	0.48035505
33	3	11	0.48209235
34	4	1	0.53090036
35	4	2	0.5456835
36	4	3	0.60374957
37	4	4	0.51103848
38	4	5	0.46811587
39	4	6	0.46480978
40	4	7	0.45548302
41	4	8	0.44877988
42	4	9	0.44067335
43	4	10	0.44207525
44	4	11	0.44482967
