Point	Row	Column	FWHM_111
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	0.50058514
6	1	6	0.48007903
7	1	7	0.43384933
8	1	8	0.44367272
9	1	9	0.45461249
10	1	10	0.44860259
11	1	11	0.39191738
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	0.56908697
18	2	7	0.47370261
19	2	8	0.45872369
20	2	9	0.42976668
21	2	10	0.44036376
22	2	11	0.45928565
23	3	1	
24	3	2	
25	3	3	0.53038782
26	3	4	0.45605296
27	3	5	0.48581719
28	3	6	0.4648689
29	3	7	0.42848819
30	3	8	0.43207771
31	3	9	0.41629785
32	3	10	0.45045567
33	3	11	0.45605764
34	4	1	0.46240732
35	4	2	0.43035895
36	4	3	0.41237694
37	4	4	0.41912794
38	4	5	0.43040848
39	4	6	0.4631882
40	4	7	0.43890843
41	4	8	0.4355754
42	4	9	0.44171619
43	4	10	0.42518386
44	4	11	0.45374137
