Point	Row	Column	Frac_110
1	1	1	1
2	1	2	1
3	1	3	1
4	1	4	1
5	1	5	0.75995767
6	1	6	0.74124008
7	1	7	0.66434616
8	1	8	0.59325892
9	1	9	0.75489211
10	1	10	0.77440876
11	1	11	0.74029082
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	1
17	2	6	0.78079718
18	2	7	0.71227372
19	2	8	0.63987696
20	2	9	0.63728505
21	2	10	0.74219024
22	2	11	0.76963127
23	3	1	1
24	3	2	1
25	3	3	0.79938304
26	3	4	0.79062539
27	3	5	0.71156645
28	3	6	0.70745271
29	3	7	0.65698135
30	3	8	0.62495196
31	3	9	0.64029616
32	3	10	0.77276152
33	3	11	0.76271123
34	4	1	0.73726356
35	4	2	0.6871469
36	4	3	0.62847692
37	4	4	0.71221811
38	4	5	0.77766573
39	4	6	0.7824378
40	4	7	0.77670676
41	4	8	0.79058331
42	4	9	0.8017391
43	4	10	0.78970891
44	4	11	0.79735059
