Point	Row	Column	a_Ang
1	1	1	4.088079
2	1	2	4.0851502
3	1	3	4.0831547
4	1	4	4.0823183
5	1	5	4.0803657
6	1	6	4.0776978
7	1	7	4.0774031
8	1	8	4.0785856
9	1	9	4.0836697
10	1	10	4.0882859
11	1	11	4.0864968
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	4.0800185
17	2	6	4.0792603
18	2	7	4.0782156
19	2	8	4.0779276
20	2	9	4.0820794
21	2	10	4.0852175
22	2	11	4.0882506
23	3	1	4.0909953
24	3	2	4.0882711
25	3	3	4.0875826
26	3	4	4.0841055
27	3	5	4.0819368
28	3	6	4.0804272
29	3	7	4.080153
30	3	8	4.080102
31	3	9	4.0820403
32	3	10	4.0833788
33	3	11	4.0873842
34	4	1	4.0901542
35	4	2	4.0874147
36	4	3	4.0856533
37	4	4	4.0865512
38	4	5	4.0895386
39	4	6	4.0896893
40	4	7	4.0896525
41	4	8	4.0905795
42	4	9	4.0901699
43	4	10	4.0906467
44	4	11	4.0900855
