Point	Row	Column	Y_at
1	1	1	3.71892
2	1	2	3.53987
3	1	3	3.0559299
4	1	4	3.34659
5	1	5	2.7069004
6	1	6	2.7974298
7	1	7	2.3738799
8	1	8	2.6226602
9	1	9	2.4648402
10	1	10	2.1487501
11	1	11	1.8540699
12	2	1	4.2603698
13	2	2	3.8643296
14	2	3	3.7764699
15	2	4	3.7011499
16	2	5	3.2446096
17	2	6	3.31668
18	2	7	2.9579301
19	2	8	2.8554201
20	2	9	2.4221003
21	2	10	2.63115
22	2	11	2.2033703
23	3	1	4.4776301
24	3	2	4.0004501
25	3	3	3.9503701
26	3	4	3.8313203
27	3	5	3.7816
28	3	6	3.38363
29	3	7	3.2352097
30	3	8	3.49189
31	3	9	3.1638703
32	3	10	3.0320196
33	3	11	2.7265797
34	4	1	3.81777
35	4	2	3.7994201
36	4	3	3.90488
37	4	4	3.8540299
38	4	5	3.5765502
39	4	6	3.94156
40	4	7	3.7689795
41	4	8	3.66133
42	4	9	3.1851993
43	4	10	3.3186104
44	4	11	2.8069997
