Point	Row	Column	Co_at
1	1	1	35.708618
2	1	2	36.224529
3	1	3	36.895748
4	1	4	37.252159
5	1	5	37.702564
6	1	6	38.076977
7	1	7	38.44809
8	1	8	38.994133
9	1	9	39.334423
10	1	10	39.921761
11	1	11	39.81625
12	2	1	34.143379
13	2	2	35.085297
14	2	3	35.478661
15	2	4	35.781761
16	2	5	36.432907
17	2	6	36.708511
18	2	7	37.518539
19	2	8	37.715691
20	2	9	38.273643
21	2	10	38.762379
22	2	11	38.800114
23	3	1	33.777241
24	3	2	34.009048
25	3	3	34.692669
26	3	4	35.107883
27	3	5	35.415878
28	3	6	35.939739
29	3	7	36.354267
30	3	8	36.667549
31	3	9	37.154133
32	3	10	37.573246
33	3	11	37.890278
34	4	1	33.611099
35	4	2	34.004959
36	4	3	34.237202
37	4	4	34.762341
38	4	5	34.975952
39	4	6	35.170441
40	4	7	35.505386
41	4	8	35.512249
42	4	9	36.159302
43	4	10	36.211834
44	4	11	36.509155
