Point	Row	Column	Ba_at
1	1	1	45.633289
2	1	2	45.890781
3	1	3	46.181671
4	1	4	45.719318
5	1	5	46.264053
6	1	6	46.125717
7	1	7	46.29063
8	1	8	46.008533
9	1	9	46.259666
10	1	10	46.021278
11	1	11	46.63166
12	2	1	45.664028
13	2	2	45.292767
14	2	3	45.444679
15	2	4	45.583389
16	2	5	45.710697
17	2	6	45.794861
18	2	7	45.813938
19	2	8	46.027802
20	2	9	46.195045
21	2	10	46.067379
22	2	11	46.304043
23	3	1	45.3176
24	3	2	45.542912
25	3	3	45.675461
26	3	4	45.291054
27	3	5	45.439621
28	3	6	45.695782
29	3	7	46.001976
30	3	8	45.694321
31	3	9	45.872383
32	3	10	45.810246
33	3	11	46.316525
34	4	1	46.05788
35	4	2	45.902191
36	4	3	45.599838
37	4	4	45.605339
38	4	5	45.793785
39	4	6	45.81279
40	4	7	45.677814
41	4	8	46.457569
42	4	9	46.243832
43	4	10	46.412914
44	4	11	46.437607
