Point	Row	Column	Co_at
1	1	1	0.130356
2	1	2	0.13910531
3	1	3	0.14770678
4	1	4	0.15787137
5	1	5	0.16299167
6	1	6	0.17288323
7	1	7	0.17960504
8	1	8	0.187764
9	1	9	0.19021462
10	1	10	0.19250286
11	1	11	0.20521331
12	2	1	0.12629408
13	2	2	0.13255577
14	2	3	0.13908242
15	2	4	0.14883733
16	2	5	0.15899542
17	2	6	0.16765971
18	2	7	0.17657769
19	2	8	0.19188157
20	2	9	0.19986238
21	2	10	0.21195893
22	2	11	0.20963427
23	3	1	0.14889473
24	3	2	0.15689351
25	3	3	0.16236138
26	3	4	0.17461911
27	3	5	0.17661564
28	3	6	0.19086215
29	3	7	0.20046459
30	3	8	0.20612846
31	3	9	0.21179688
32	3	10	0.21905342
33	3	11	0.22367847
34	4	1	0.1634692
35	4	2	0.17262247
36	4	3	0.18411396
37	4	4	0.19056489
38	4	5	0.19759166
39	4	6	0.21149454
40	4	7	0.22010851
41	4	8	0.23541515
42	4	9	0.23969276
43	4	10	0.24238876
44	4	11	0.22985931
