Point	Row	Column	Fe_at
1	1	1	0.16060661
2	1	2	0.16147724
3	1	3	0.15376066
4	1	4	0.14823925
5	1	5	0.14103456
6	1	6	0.13216887
7	1	7	0.12229895
8	1	8	0.10898858
9	1	9	0.10240926
10	1	10	0.090072572
11	1	11	0.084945634
12	2	1	0.17729688
13	2	2	0.17517728
14	2	3	0.17287971
15	2	4	0.16709656
16	2	5	0.15810053
17	2	6	0.1480078
18	2	7	0.13774206
19	2	8	0.11972357
20	2	9	0.10672893
21	2	10	0.094321005
22	2	11	0.086289957
23	3	1	0.15156582
24	3	2	0.15188245
25	3	3	0.15041958
26	3	4	0.14143276
27	3	5	0.14249274
28	3	6	0.1296441
29	3	7	0.11971952
30	3	8	0.10695558
31	3	9	0.099246018
32	3	10	0.088297658
33	3	11	0.081278391
34	4	1	0.10651898
35	4	2	0.11025941
36	4	3	0.11130356
37	4	4	0.10880228
38	4	5	0.10425303
39	4	6	0.10198166
40	4	7	0.094054617
41	4	8	0.083658569
42	4	9	0.073916398
43	4	10	0.070412308
44	4	11	0.073783375
