Point	Row	Column	d_um
1	1	1	0.31867999
2	1	2	0.32528999
3	1	3	0.33252999
4	1	4	0.33208001
5	1	5	0.33140999
6	1	6	0.32363001
7	1	7	0.31415999
8	1	8	0.30241999
9	1	9	0.28951001
10	1	10	0.27313
11	1	11	0.2456
12	2	1	0.37823999
13	2	2	0.39724001
14	2	3	0.40733001
15	2	4	0.41444001
16	2	5	0.41598001
17	2	6	0.40944999
18	2	7	0.39903
19	2	8	0.29567999
20	2	9	0.28101999
21	2	10	0.26383001
22	2	11	0.25066
23	3	1	0.33590001
24	3	2	0.35707
25	3	3	0.37678999
26	3	4	0.30287001
27	3	5	0.39206001
28	3	6	0.31387001
29	3	7	0.31138
30	3	8	0.30557999
31	3	9	0.29820001
32	3	10	0.28365001
33	3	11	0.26690999
34	4	1	0.25297001
35	4	2	0.26611999
36	4	3	0.2802
37	4	4	0.29793999
38	4	5	0.31336001
39	4	6	0.31946999
40	4	7	0.31977001
41	4	8	0.25301
42	4	9	0.25246999
43	4	10	0.24675
44	4	11	0.30608001
