Point	Ba_at	Zr_at	Y_at	Co_at	Fe_at
101	0.4608351	0.20347917	0.076494463	0.2437353	0.015455943
102	0.46182212	0.19564489	0.071434058	0.25661889	0.014480033
103	0.46208251	0.1859075	0.067064941	0.27051529	0.014429767
104	0.46515656	0.17634714	0.060415372	0.28524879	0.012832149
105	0.46696615	0.16645402	0.054939244	0.30021551	0.011425066
106	0.46895242	0.15491794	0.051130351	0.31455454	0.010444744
107	0.4710561	0.14643992	0.04383117	0.32945141	0.0092213908
108	0.47248396	0.13684194	0.039842479	0.34194323	0.0088884076
109	0.47568771	0.12751243	0.034091089	0.35233659	0.010372187
110	0.4734993	0.12110924	0.031520441	0.35882229	0.015048726
111	0.4596976	0.21005242	0.080550313	0.23164491	0.01805475
112	0.46288738	0.20098302	0.074760243	0.24586198	0.015507371
113	0.4633857	0.1938415	0.07080131	0.25779644	0.014175034
114	0.46342999	0.18581122	0.065296844	0.27071747	0.014744488
115	0.46738172	0.1749604	0.059272431	0.28544396	0.012941517
116	0.46861124	0.16561384	0.054601539	0.29942188	0.011751488
117	0.4701803	0.15413634	0.051277492	0.31355441	0.01085146
118	0.47209141	0.14605039	0.044358563	0.32811636	0.0093832966
119	0.47408876	0.13707465	0.039453134	0.34015024	0.0092332233
120	0.47743541	0.12661086	0.033557393	0.35124728	0.01114904
121	0.47430813	0.12122974	0.032191459	0.35610008	0.01617058
122	0.46029955	0.20962632	0.080174893	0.23214754	0.017751681
123	0.46429569	0.19998853	0.07378725	0.24681389	0.015114648
124	0.46460003	0.19310762	0.070259266	0.25839609	0.013637008
125	0.46455809	0.18574101	0.06428913	0.27095661	0.014455186
126	0.46886912	0.1743506	0.058500838	0.28571326	0.012566181
127	0.46986982	0.16520135	0.054141004	0.29932767	0.011460154
128	0.47127578	0.15372153	0.051003113	0.31340939	0.010590171
129	0.47311425	0.14577401	0.044220515	0.32787025	0.0090209683
130	0.4753435	0.13702662	0.038938053	0.33974823	0.0089435931
131	0.4787547	0.12608649	0.032971468	0.35115114	0.011036212
132	0.47524551	0.12110142	0.032083549	0.35536271	0.016206797
