Point	Row	Column	_s_MaxIntensity
1	1	1	0.0083252452
2	1	2	0.010228643
3	1	3	0.023100024
4	1	4	0.051455546
5	1	5	0.022395983
6	1	6	0.020405024
7	1	7	0.026060829
8	1	8	-0.004544673
9	1	9	0.02095082
10	1	10	0.023517169
11	1	11	0.040415369
12	2	1	0.0077938004
13	2	2	0.026008645
14	2	3	0.013250303
15	2	4	0.016107058
16	2	5	0.027425135
17	2	6	0.0065754163
18	2	7	0.018565957
19	2	8	0.01333224
20	2	9	0.031953752
21	2	10	0.013919977
22	2	11	0.058794416
23	3	1	0.017952867
24	3	2	0.020842928
25	3	3	0.018881271
26	3	4	0.026015116
27	3	5	0.012202908
28	3	6	0.014591868
29	3	7	0.021215206
30	3	8	0.023690319
31	3	9	0.021558808
32	3	10	0.024235193
33	3	11	0.0088150632
34	4	1	0.0082876571
35	4	2	0.024415512
36	4	3	0.03547189
37	4	4	0.022511972
38	4	5	0.036891803
39	4	6	0.016974444
40	4	7	0.024097867
41	4	8	0.013454011
42	4	9	0.031810716
43	4	10	0.022601033
44	4	11	0.043278381
