Point	Row	Column	d_um
1	1	1	0.019379999
2	1	2	0.020719999
3	1	3	0.02176
4	1	4	0.02351
5	1	5	0.024460001
6	1	6	0.02462
7	1	7	0.02366
8	1	8	0.023
9	1	9	0.022740001
10	1	10	0.020710001
11	1	11	0.01994
12	2	1	0.025420001
13	2	2	0.027589999
14	2	3	0.030169999
15	2	4	0.032099999
16	2	5	0.03393
17	2	6	0.034010001
18	2	7	0.034030002
19	2	8	0.032680001
20	2	9	0.03049
21	2	10	0.02795
22	2	11	0.02616
23	3	1	0.029619999
24	3	2	0.032790001
25	3	3	0.036180001
26	3	4	0.038759999
27	3	5	0.040399998
28	3	6	0.04056
29	3	7	0.03994
30	3	8	0.03816
31	3	9	0.035390001
32	3	10	0.031939998
33	3	11	0.02833
34	4	1	0.029279999
35	4	2	0.031819999
36	4	3	0.035420001
37	4	4	0.037560001
38	4	5	0.039140001
39	4	6	0.039549999
40	4	7	0.038649999
41	4	8	0.036869999
42	4	9	0.03424
43	4	10	0.030889999
44	4	11	0.02809
