Point	Row	Column	_s_Position
1	1	1	0.5
2	1	2	0.5
3	1	3	0.5
4	1	4	0.5
5	1	5	0.5
6	1	6	0.5
7	1	7	0.5
8	1	8	0.5
9	1	9	0.5
10	1	10	0.5
11	1	11	0.5
12	2	1	0.5
13	2	2	0.5
14	2	3	0.5
15	2	4	0.5
16	2	5	0.5
17	2	6	0.5
18	2	7	0.5
19	2	8	0.5
20	2	9	0.5
21	2	10	0.5
22	2	11	0.5
23	3	1	0.5
24	3	2	0.5
25	3	3	0.5
26	3	4	0.5
27	3	5	0.5
28	3	6	0.5
29	3	7	0.5
30	3	8	0.5
31	3	9	0.5
32	3	10	0.5
33	3	11	0.5
34	4	1	0.5
35	4	2	0.5
36	4	3	0.5
37	4	4	0.5
38	4	5	0.5
39	4	6	0.5
40	4	7	0.5
41	4	8	0.5
42	4	9	0.5
43	4	10	0.5
44	4	11	0.5
