Point	Row	Column	110_s_Position
1	1	1	0.39917773
2	1	2	0.42106876
3	1	3	0.43339643
4	1	4	0.4557865
5	1	5	0.46993461
6	1	6	0.49477637
7	1	7	0.51281309
8	1	8	0.53046
9	1	9	0.54587185
10	1	10	0.55606252
11	1	11	0.56601566
12	2	1	0.39206865
13	2	2	0.41059145
14	2	3	0.43229747
15	2	4	0.45553261
16	2	5	0.47817296
17	2	6	0.49937192
18	2	7	0.52238721
19	2	8	0.5416109
20	2	9	0.56267339
21	2	10	0.57852703
22	2	11	0.57992452
23	3	1	0.39684409
24	3	2	0.41948241
25	3	3	0.4371973
26	3	4	0.4575035
27	3	5	0.48287612
28	3	6	0.50271636
29	3	7	0.52495533
30	3	8	0.54524541
31	3	9	0.56226772
32	3	10	0.58360481
33	3	11	0.58615929
34	4	1	0.40321663
35	4	2	0.42356312
36	4	3	0.44064343
37	4	4	0.46507722
38	4	5	0.4795281
39	4	6	0.50028694
40	4	7	0.52009541
41	4	8	0.53759891
42	4	9	0.55542439
43	4	10	0.56761557
44	4	11	0.57657647
