Point	Row	Column	Fe_at
1	1	1	0.24123691
2	1	2	0.23624246
3	1	3	0.22481233
4	1	4	0.2183505
5	1	5	0.20905153
6	1	6	0.19916289
7	1	7	0.19301134
8	1	8	0.180617
9	1	9	0.17567776
10	1	10	0.17460403
11	1	11	0.17839906
12	2	1	0.24294022
13	2	2	0.23456699
14	2	3	0.22289731
15	2	4	0.21431167
16	2	5	0.20512997
17	2	6	0.1929706
18	2	7	0.18470493
19	2	8	0.17559794
20	2	9	0.16957884
21	2	10	0.16173555
22	2	11	0.16352564
23	3	1	0.24092761
24	3	2	0.2297392
25	3	3	0.22308794
26	3	4	0.21116851
27	3	5	0.20267311
28	3	6	0.19145343
29	3	7	0.18219806
30	3	8	0.17120399
31	3	9	0.16307433
32	3	10	0.15857023
33	3	11	0.16077818
34	4	1	0.24498983
35	4	2	0.23492359
36	4	3	0.22638452
37	4	4	0.21772328
38	4	5	0.20639308
39	4	6	0.19813889
40	4	7	0.1872097
41	4	8	0.18040749
42	4	9	0.17134458
43	4	10	0.16576295
44	4	11	0.1702814
