Point	Row	Column	Zr_at
1	1	1	0.067664191
2	1	2	0.061440233
3	1	3	0.067127474
4	1	4	0.061221302
5	1	5	0.064386763
6	1	6	0.060614664
7	1	7	0.060895924
8	1	8	0.06338767
9	1	9	0.06396427
10	1	10	0.059245218
11	1	11	0.058969133
12	2	1	0.067359731
13	2	2	0.067923121
14	2	3	0.068703458
15	2	4	0.067650579
16	2	5	0.065394573
17	2	6	0.066623345
18	2	7	0.063544534
19	2	8	0.064827159
20	2	9	0.06292513
21	2	10	0.062808618
22	2	11	0.063943632
23	3	1	0.067325138
24	3	2	0.068250448
25	3	3	0.065437496
26	3	4	0.069674537
27	3	5	0.065522887
28	3	6	0.066911325
29	3	7	0.066609301
30	3	8	0.065370589
31	3	9	0.065652072
32	3	10	0.060362551
33	3	11	0.061288033
34	4	1	0.060924709
35	4	2	0.064962186
36	4	3	0.065189891
37	4	4	0.062169932
38	4	5	0.064693801
39	4	6	0.062131245
40	4	7	0.062735431
41	4	8	0.063287258
42	4	9	0.062563486
43	4	10	0.060283162
44	4	11	0.059378665
