Point	Row	Column	Pos_111
1	1	1	38.233318
2	1	2	38.152901
3	1	3	38.093479
4	1	4	38.13847
5	1	5	38.149075
6	1	6	38.156448
7	1	7	38.136921
8	1	8	38.125591
9	1	9	38.124382
10	1	10	38.063175
11	1	11	38.047005
12	2	1	38.055817
13	2	2	38.075043
14	2	3	38.070431
15	2	4	38.067837
16	2	5	38.06741
17	2	6	38.025753
18	2	7	38.040211
19	2	8	38.08297
20	2	9	38.078636
21	2	10	38.039387
22	2	11	
23	3	1	38.131962
24	3	2	38.088139
25	3	3	38.008823
26	3	4	38.050999
27	3	5	38.062973
28	3	6	38.03561
29	3	7	38.057415
30	3	8	38.061836
31	3	9	38.047729
32	3	10	38.04512
33	3	11	37.992592
34	4	1	38.112839
35	4	2	38.103222
36	4	3	38.090691
37	4	4	38.07238
38	4	5	38.049339
39	4	6	38.027565
40	4	7	38.017159
41	4	8	38.012642
42	4	9	37.992249
43	4	10	37.990139
44	4	11	37.967136
