Point	Row	Column	110_s_MaxIntensity
1	1	1	0.72659427
2	1	2	0.76684779
3	1	3	0.80105859
4	1	4	0.82780516
5	1	5	0.84582919
6	1	6	0.85413384
7	1	7	0.85207999
8	1	8	0.83947045
9	1	9	0.81660438
10	1	10	0.78428715
11	1	11	0.74378461
12	2	1	0.82911533
13	2	2	0.87915081
14	2	3	0.92245632
15	2	4	0.95718014
16	2	5	0.98162013
17	2	6	0.99436027
18	2	7	0.9944135
19	2	8	0.98135608
20	2	9	0.95542353
21	2	10	0.91754258
22	2	11	0.86928004
23	3	1	0.82573527
24	3	2	0.87690151
25	3	3	0.92159617
26	3	4	0.95790124
27	3	5	0.9840197
28	3	6	0.99842131
29	3	7	1
30	3	8	0.98822439
31	3	9	0.96324831
32	3	10	0.92595309
33	3	11	0.87790012
34	4	1	0.7177307
35	4	2	0.7606256
36	4	3	0.79808205
37	4	4	0.82847559
38	4	5	0.85038638
39	4	6	0.86254716
40	4	7	0.86405516
41	4	8	0.85447401
42	4	9	0.83391929
43	4	10	0.80309027
44	4	11	0.76323235
