Point	Row	Column	_s_Area
1	1	1	0.44082579
2	1	2	0.44677684
3	1	3	0.44151056
4	1	4	0.44624373
5	1	5	0.44401884
6	1	6	0.44655105
7	1	7	0.44941789
8	1	8	0.445847
9	1	9	0.44861367
10	1	10	0.45263529
11	1	11	0.46140689
12	2	1	0.43897453
13	2	2	0.43986273
14	2	3	0.43904603
15	2	4	0.44207799
16	2	5	0.44421646
17	2	6	0.44265658
18	2	7	0.44589853
19	2	8	0.44640338
20	2	9	0.45091555
21	2	10	0.45099905
22	2	11	0.4534879
23	3	1	0.43934965
24	3	2	0.43948039
25	3	3	0.44168657
26	3	4	0.43992028
27	3	5	0.44411117
28	3	6	0.44281161
29	3	7	0.44467571
30	3	8	0.44382668
31	3	9	0.44420817
32	3	10	0.45037264
33	3	11	0.45385781
34	4	1	0.44659814
35	4	2	0.44670516
36	4	3	0.44670624
37	4	4	0.45026189
38	4	5	0.44615713
39	4	6	0.44828236
40	4	7	0.44725737
41	4	8	0.44920698
42	4	9	0.44905677
43	4	10	0.44957075
44	4	11	0.45856965
