Point	Row	Column	_s_MaxIntensity
1	1	1	0.01697994
2	1	2	0.016434131
3	1	3	0.01727603
4	1	4	0.014930093
5	1	5	0.016811203
6	1	6	0.014331452
7	1	7	0.020627629
8	1	8	0.018469343
9	1	9	0.025155909
10	1	10	0.023761041
11	1	11	0.040752016
12	2	1	0.012668544
13	2	2	0.015571682
14	2	3	0.015498972
15	2	4	0.019457113
16	2	5	0.019222051
17	2	6	0.018559821
18	2	7	0.018886153
19	2	8	0.022461083
20	2	9	0.027681321
21	2	10	0.027615365
22	2	11	0.034863085
23	3	1	0.013349585
24	3	2	0.015461696
25	3	3	0.014248148
26	3	4	0.019189609
27	3	5	0.019268109
28	3	6	0.019445848
29	3	7	0.022570033
30	3	8	0.018394537
31	3	9	0.019720502
32	3	10	0.02147039
33	3	11	0.030291697
34	4	1	0.015045709
35	4	2	0.02333468
36	4	3	0.02379225
37	4	4	0.024863675
38	4	5	0.021701831
39	4	6	0.020827208
40	4	7	0.01998562
41	4	8	0.024988448
42	4	9	0.023240516
43	4	10	0.019707818
44	4	11	0.035896607
