Point	Row	Column	Norm_Int110
1	1	1	11.835972
2	1	2	19.69717
3	1	3	20.547897
4	1	4	19.930336
5	1	5	20.080933
6	1	6	19.789181
7	1	7	19.377745
8	1	8	19.424438
9	1	9	17.919003
10	1	10	15.374434
11	1	11	15.2044
12	2	1	20.213558
13	2	2	21.72246
14	2	3	22.058456
15	2	4	23.406822
16	2	5	23.650183
17	2	6	23.486805
18	2	7	24.0851
19	2	8	24.049517
20	2	9	24.511946
21	2	10	22.021706
22	2	11	19.312202
23	3	1	21.684721
24	3	2	20.32303
25	3	3	19.432409
26	3	4	19.548853
27	3	5	19.941339
28	3	6	19.978821
29	3	7	20.676184
30	3	8	20.251656
31	3	9	20.094484
32	3	10	20.053522
33	3	11	18.611086
34	4	1	20.151745
35	4	2	20.548641
36	4	3	20.646513
37	4	4	20.192535
38	4	5	19.59601
39	4	6	19.345173
40	4	7	19.232658
41	4	8	19.204319
42	4	9	18.399639
43	4	10	18.575811
44	4	11	17.26195
