Point	Row	Column	Y_at
1	1	1	0.08981318
2	1	2	0.085163482
3	1	3	0.081996545
4	1	4	0.0786613
5	1	5	0.074546911
6	1	6	0.063286945
7	1	7	0.062766165
8	1	8	0.054357056
9	1	9	0.050048579
10	1	10	0.046894971
11	1	11	0.044268854
12	2	1	0.094137527
13	2	2	0.091149591
14	2	3	0.087698236
15	2	4	0.080600999
16	2	5	0.074286461
17	2	6	0.069348633
18	2	7	0.061045967
19	2	8	0.057248902
20	2	9	0.052407231
21	2	10	0.045256328
22	2	11	0.042716667
23	3	1	0.091820009
24	3	2	0.087941051
25	3	3	0.084939547
26	3	4	0.078626707
27	3	5	0.074632131
28	3	6	0.067073718
29	3	7	0.061138213
30	3	8	0.056552771
31	3	9	0.050239485
32	3	10	0.047144968
33	3	11	0.042733539
34	4	1	0.08773049
35	4	2	0.082389869
36	4	3	0.081529476
37	4	4	0.074469991
38	4	5	0.070760034
39	4	6	0.066444814
40	4	7	0.0610734
41	4	8	0.05536937
42	4	9	0.05074292
43	4	10	0.048222207
44	4	11	0.041465275
