Point	Row	Column	Fe_at
1	1	1	0.20107564
2	1	2	0.21181537
3	1	3	0.2210623
4	1	4	0.23206228
5	1	5	0.24347709
6	1	6	0.25485647
7	1	7	0.26704276
8	1	8	0.27842337
9	1	9	0.28928581
10	1	10	0.30184612
11	1	11	0.317687
12	2	1	0.19430582
13	2	2	0.20411803
14	2	3	0.21481551
15	2	4	0.22504251
16	2	5	0.23895691
17	2	6	0.25061309
18	2	7	0.26396459
19	2	8	0.27611679
20	2	9	0.28507945
21	2	10	0.29706568
22	2	11	0.3107
23	3	1	0.20149763
24	3	2	0.21193343
25	3	3	0.2216697
26	3	4	0.23385704
27	3	5	0.2435358
28	3	6	0.25607663
29	3	7	0.27020299
30	3	8	0.28070185
31	3	9	0.29024911
32	3	10	0.29966637
33	3	11	0.31200641
34	4	1	0.21729241
35	4	2	0.22737743
36	4	3	0.23500425
37	4	4	0.24526295
38	4	5	0.2552391
39	4	6	0.2661486
40	4	7	0.27554607
41	4	8	0.28659293
42	4	9	0.29360971
43	4	10	0.30470696
44	4	11	0.31941038
