Point	Row	Column	Zr_at
1	1	1	0.23621583
2	1	2	0.23207742
3	1	3	0.22093318
4	1	4	0.21282881
5	1	5	0.20549814
6	1	6	0.19924648
7	1	7	0.18598726
8	1	8	0.17937605
9	1	9	0.17272098
10	1	10	0.16297948
11	1	11	0.15269409
12	2	1	0.24524277
13	2	2	0.23934279
14	2	3	0.2311832
15	2	4	0.22106346
16	2	5	0.20987414
17	2	6	0.19995075
18	2	7	0.19078889
19	2	8	0.1819603
20	2	9	0.17201978
21	2	10	0.16769996
22	2	11	0.15778594
23	3	1	0.24056417
24	3	2	0.23538397
25	3	3	0.2251506
26	3	4	0.21670191
27	3	5	0.20916609
28	3	6	0.19758134
29	3	7	0.18711889
30	3	8	0.17824854
31	3	9	0.17102735
32	3	10	0.16384754
33	3	11	0.15512635
34	4	1	0.2246141
35	4	2	0.2197234
36	4	3	0.21183521
37	4	4	0.20412453
38	4	5	0.2004303
39	4	6	0.18966244
40	4	7	0.18143559
41	4	8	0.17387699
42	4	9	0.16734464
43	4	10	0.15949923
44	4	11	0.15124524
