Point	Row	Column	Zr_at
1	1	1	0.51812351
2	1	2	0.51981586
3	1	3	0.52626407
4	1	4	0.52178383
5	1	5	0.51453137
6	1	6	0.51481748
7	1	7	0.50601304
8	1	8	0.51060194
9	1	9	0.50548995
10	1	10	0.50609726
11	1	11	0.49608082
12	2	1	0.52920884
13	2	2	0.53630894
14	2	3	0.53359592
15	2	4	0.53319705
16	2	5	0.53484654
17	2	6	0.52572608
18	2	7	0.5299567
19	2	8	0.51999825
20	2	9	0.51932931
21	2	10	0.51851201
22	2	11	0.51504171
23	3	1	0.5310148
24	3	2	0.5342778
25	3	3	0.53100032
26	3	4	0.53760451
27	3	5	0.53634244
28	3	6	0.53531879
29	3	7	0.53577262
30	3	8	0.53666002
31	3	9	0.52897835
32	3	10	0.52046114
33	3	11	0.52234828
34	4	1	0.52995282
35	4	2	0.53041083
36	4	3	0.53427553
37	4	4	0.5316115
38	4	5	0.53335124
39	4	6	0.52985024
40	4	7	0.52886236
41	4	8	0.5278585
42	4	9	0.52730674
43	4	10	0.52153838
44	4	11	0.52031678
