Point	Row	Column	MaxInt_110
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	688.51068
7	1	7	1399.7876
8	1	8	1965.91
9	1	9	2196.9644
10	1	10	1970.1719
11	1	11	1665.9241
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	195.6053
19	2	8	1339.9139
20	2	9	2107.708
21	2	10	1997.8002
22	2	11	1426.1676
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	280.58984
31	3	9	295.03717
32	3	10	355.80612
33	3	11	
34	4	1	373.68259
35	4	2	
36	4	3	222.64087
37	4	4	440.70471
38	4	5	663.87012
39	4	6	933.78809
40	4	7	983.9964
41	4	8	509.65497
42	4	9	
43	4	10	
44	4	11	
