Point	Row	Column	_s_MaxIntensity
1	1	1	0.083272733
2	1	2	0.08988443
3	1	3	0.10088292
4	1	4	0.090428092
5	1	5	0.076239213
6	1	6	0.078125298
7	1	7	0.064968638
8	1	8	0.07028152
9	1	9	0.061726321
10	1	10	0.066028506
11	1	11	0.044615451
12	2	1	0.10235873
13	2	2	0.11738978
14	2	3	0.11341529
15	2	4	0.11243437
16	2	5	0.11630969
17	2	6	0.09829215
18	2	7	0.10291497
19	2	8	0.088221312
20	2	9	0.087997131
21	2	10	0.083531164
22	2	11	0.081669793
23	3	1	0.10794377
24	3	2	0.11047809
25	3	3	0.10880766
26	3	4	0.11835933
27	3	5	0.11849219
28	3	6	0.11513287
29	3	7	0.11613619
30	3	8	0.12121061
31	3	9	0.10295471
32	3	10	0.089470081
33	3	11	0.090881176
34	4	1	0.10579556
35	4	2	0.10785283
36	4	3	0.11523684
37	4	4	0.11272446
38	4	5	0.11071041
39	4	6	0.10911112
40	4	7	0.10362867
41	4	8	0.10460329
42	4	9	0.10042419
43	4	10	0.091395877
44	4	11	0.09185002
