Point	Row	Column	_s_FWHM
1	1	1	1.036247
2	1	2	1.0396317
3	1	3	1.0525281
4	1	4	1.0435677
5	1	5	1.0290627
6	1	6	1.029635
7	1	7	1.0120261
8	1	8	1.0212039
9	1	9	1.0109799
10	1	10	1.0121945
11	1	11	0.99216163
12	2	1	1.0584177
13	2	2	1.0726179
14	2	3	1.0671918
15	2	4	1.0663941
16	2	5	1.0696931
17	2	6	1.0514522
18	2	7	1.0599134
19	2	8	1.0399965
20	2	9	1.0386586
21	2	10	1.037024
22	2	11	1.0300834
23	3	1	1.0620296
24	3	2	1.0685556
25	3	3	1.0620006
26	3	4	1.075209
27	3	5	1.0726849
28	3	6	1.0706376
29	3	7	1.0715452
30	3	8	1.07332
31	3	9	1.0579567
32	3	10	1.0409223
33	3	11	1.0446966
34	4	1	1.0599056
35	4	2	1.0608217
36	4	3	1.0685511
37	4	4	1.063223
38	4	5	1.0667025
39	4	6	1.0597005
40	4	7	1.0577247
41	4	8	1.055717
42	4	9	1.0546135
43	4	10	1.0430768
44	4	11	1.0406336
