Point	Row	Column	FWHM_200
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	0.66299158
7	1	7	0.6833871
8	1	8	0.6682297
9	1	9	0.73933733
10	1	10	0.74426049
11	1	11	0.80622071
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	0.60305226
19	2	8	0.60144126
20	2	9	0.70190412
21	2	10	0.66169149
22	2	11	0.67290902
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	0.64548337
31	3	9	0.51591039
32	3	10	0.77009702
33	3	11	
34	4	1	0.72429425
35	4	2	
36	4	3	
37	4	4	0.77206856
38	4	5	0.84425902
39	4	6	0.64986306
40	4	7	0.74201238
41	4	8	0.79439211
42	4	9	
43	4	10	
44	4	11	
