Point	Row	Column	MaxInt_110
1	1	1	1616.6493
2	1	2	1684.5797
3	1	3	1761.1549
4	1	4	1838.3573
5	1	5	1913.5708
6	1	6	1980.7732
7	1	7	1974.7135
8	1	8	1942.7236
9	1	9	1903.2271
10	1	10	1622.1448
11	1	11	1546.8364
12	2	1	1830.4656
13	2	2	2110.4348
14	2	3	1582.347
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	1995.2092
24	3	2	1549.677
25	3	3	1000.2377
26	3	4	1743.3751
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	
34	4	1	1690.9362
35	4	2	1785.225
36	4	3	1881.2688
37	4	4	2211.4958
38	4	5	1210.0385
39	4	6	558.6543
40	4	7	
41	4	8	
42	4	9	746.3573
43	4	10	1804.4301
44	4	11	1541.3416
