Point	Row	Column	d_um
1	1	1	0.20925002
2	1	2	0.22379
3	1	3	0.23833998
4	1	4	0.25134003
5	1	5	0.26085001
6	1	6	0.26550996
7	1	7	0.26392001
8	1	8	0.25812003
9	1	9	0.24659
10	1	10	0.23028998
11	1	11	0.21607998
12	2	1	0.24839002
13	2	2	0.26846004
14	2	3	0.28558001
15	2	4	0.29769996
16	2	5	0.30565
17	2	6	0.30754003
18	2	7	0.30131
19	2	8	0.28949001
20	2	9	0.27188998
21	2	10	0.2494
22	2	11	0.22443999
23	3	1	0.22950998
24	3	2	0.24583
25	3	3	0.26078001
26	3	4	0.26980001
27	3	5	0.27502003
28	3	6	0.27309999
29	3	7	0.26631996
30	3	8	0.25248
31	3	9	0.23496002
32	3	10	0.21427999
33	3	11	0.19178
34	4	1	0.16969
35	4	2	0.18035002
36	4	3	0.18945999
37	4	4	0.19485998
38	4	5	0.19699
39	4	6	0.19526
40	4	7	0.18980999
41	4	8	0.18029001
42	4	9	0.16858999
43	4	10	0.15545002
44	4	11	0.14010999
