Point	Row	Column	_s_Sigma
1	1	1	0.13684519
2	1	2	0.127874
3	1	3	0.11699361
4	1	4	0.10796359
5	1	5	0.096343599
6	1	6	0.085200809
7	1	7	0.072910398
8	1	8	0.065249391
9	1	9	0.060908999
10	1	10	0.054385204
11	1	11	0.073937409
12	2	1	0.15146399
13	2	2	0.14627698
14	2	3	0.1320392
15	2	4	0.12420561
16	2	5	0.114119
17	2	6	0.10221839
18	2	7	0.092477404
19	2	8	0.084158003
20	2	9	0.077783808
21	2	10	0.074166797
22	2	11	0.068395801
23	3	1	0.15832102
24	3	2	0.14701021
25	3	3	0.1366116
26	3	4	0.1281362
27	3	5	0.11906959
28	3	6	0.109822
29	3	7	0.10255482
30	3	8	0.094911799
31	3	9	0.086892992
32	3	10	0.082735799
33	3	11	0.080598198
34	4	1	0.1474046
35	4	2	0.13769418
36	4	3	0.131944
37	4	4	0.12532121
38	4	5	0.1159318
39	4	6	0.1102582
40	4	7	0.1062146
41	4	8	0.10016019
42	4	9	0.1009004
43	4	10	0.089098193
44	4	11	0.084150009
