Point	Row	Column	Fe_at
1	1	1	0.046057895
2	1	2	0.0456683
3	1	3	0.044463903
4	1	4	0.043283895
5	1	5	0.042672001
6	1	6	0.041680206
7	1	7	0.040486701
8	1	8	0.040601797
9	1	9	0.038751401
10	1	10	0.042649005
11	1	11	0.047309004
12	2	1	0.049522094
13	2	2	0.048484795
14	2	3	0.0484249
15	2	4	0.047992706
16	2	5	0.048084799
17	2	6	0.047410596
18	2	7	0.0466699
19	2	8	0.0466781
20	2	9	0.046303004
21	2	10	0.0487171
22	2	11	0.054934599
23	3	1	0.055018906
24	3	2	0.056432199
25	3	3	0.056765102
26	3	4	0.0575624
27	3	5	0.058926996
28	3	6	0.059106901
29	3	7	0.059523012
30	3	8	0.060940798
31	3	9	0.061296493
32	3	10	0.064395398
33	3	11	0.071193099
34	4	1	0.065479301
35	4	2	0.065957293
36	4	3	0.067930497
37	4	4	0.069873609
38	4	5	0.072136097
39	4	6	0.074454598
40	4	7	0.0752654
41	4	8	0.075962089
42	4	9	0.0785897
43	4	10	0.083849691
44	4	11	0.092647709
