Point	Row	Column	a_Ang
1	1	1	4.1449342
2	1	2	4.1436701
3	1	3	4.1405525
4	1	4	4.1359968
5	1	5	4.1306643
6	1	6	4.1253023
7	1	7	4.1238022
8	1	8	4.1199322
9	1	9	4.1109643
10	1	10	4.1035438
11	1	11	4.1047173
12	2	1	4.1598053
13	2	2	4.1541567
14	2	3	4.1472163
15	2	4	4.1402435
16	2	5	4.1326532
17	2	6	4.1262612
18	2	7	4.1180806
19	2	8	4.1081929
20	2	9	4.1053653
21	2	10	4.1019063
22	2	11	4.1030812
23	3	1	4.1574693
24	3	2	4.15346
25	3	3	4.1487722
26	3	4	4.1410618
27	3	5	4.1333709
28	3	6	4.1285686
29	3	7	4.127316
30	3	8	4.1176829
31	3	9	4.1147938
32	3	10	4.1148343
33	3	11	4.1176615
34	4	1	4.1474204
35	4	2	4.1445131
36	4	3	4.1367435
37	4	4	4.1305079
38	4	5	4.1262817
39	4	6	4.12463
40	4	7	4.1260552
41	4	8	4.1273894
42	4	9	4.1273513
43	4	10	4.1262197
44	4	11	4.1239042
