Point	Row	Column	Co_at
1	1	1	0.22670187
2	1	2	0.23965719
3	1	3	0.25308692
4	1	4	0.26875669
5	1	5	0.28374049
6	1	6	0.29618114
7	1	7	0.30999851
8	1	8	0.32075176
9	1	9	0.3285692
10	1	10	0.33383134
11	1	11	0.33338803
12	2	1	0.20976599
13	2	2	0.22118418
14	2	3	0.23286641
15	2	4	0.24674752
16	2	5	0.2609506
17	2	6	0.27164316
18	2	7	0.28542399
19	2	8	0.29607591
20	2	9	0.30451354
21	2	10	0.31281519
22	2	11	0.3155947
23	3	1	0.20224632
24	3	2	0.21186119
25	3	3	0.2209301
26	3	4	0.2303603
27	3	5	0.24131568
28	3	6	0.25297719
29	3	7	0.26078084
30	3	8	0.26892021
31	3	9	0.27573308
32	3	10	0.2770178
33	3	11	0.2827706
34	4	1	0.204963
35	4	2	0.21063837
36	4	3	0.21656869
37	4	4	0.22159822
38	4	5	0.225513
39	4	6	0.2320926
40	4	7	0.23945659
41	4	8	0.24482557
42	4	9	0.247088
43	4	10	0.24920557
44	4	11	0.25010744
