Point	Row	Column	_s_Area
1	1	1	0.27275977
2	1	2	0.2853255
3	1	3	0.29755083
4	1	4	0.31204057
5	1	5	0.3264125
6	1	6	0.33786133
7	1	7	0.35048521
8	1	8	0.36135358
9	1	9	0.3673206
10	1	10	0.37648034
11	1	11	0.38069704
12	2	1	0.25928807
13	2	2	0.26966897
14	2	3	0.28129131
15	2	4	0.29474023
16	2	5	0.30903539
17	2	6	0.31905377
18	2	7	0.33209389
19	2	8	0.34275401
20	2	9	0.35081655
21	2	10	0.3615323
22	2	11	0.37052929
23	3	1	0.25726524
24	3	2	0.26829341
25	3	3	0.27769521
26	3	4	0.28792271
27	3	5	0.30024266
28	3	6	0.31208411
29	3	7	0.32030386
30	3	8	0.32986099
31	3	9	0.33702958
32	3	10	0.3414132
33	3	11	0.3539637
34	4	1	0.27044231
35	4	2	0.27659568
36	4	3	0.2844992
37	4	4	0.29147184
38	4	5	0.29764909
39	4	6	0.30654719
40	4	7	0.314722
41	4	8	0.32078767
42	4	9	0.32567769
43	4	10	0.33305526
44	4	11	0.34275514
