Point	Row	Column	Pos_111
1	1	1	37.539764
2	1	2	37.541149
3	1	3	37.55323
4	1	4	37.598324
5	1	5	37.63752
6	1	6	37.690578
7	1	7	37.712551
8	1	8	37.74258
9	1	9	37.806767
10	1	10	37.867348
11	1	11	37.849579
12	2	1	37.360081
13	2	2	37.406487
14	2	3	37.483826
15	2	4	37.53883
16	2	5	37.619488
17	2	6	37.6674
18	2	7	37.737339
19	2	8	37.816593
20	2	9	37.848972
21	2	10	37.87418
22	2	11	37.864277
23	3	1	37.387192
24	3	2	37.423542
25	3	3	37.468765
26	3	4	37.539513
27	3	5	37.626228
28	3	6	37.670715
29	3	7	37.674698
30	3	8	37.741863
31	3	9	37.768593
32	3	10	37.767403
33	3	11	37.750526
34	4	1	37.498856
35	4	2	37.522858
36	4	3	37.605049
37	4	4	37.670166
38	4	5	37.685352
39	4	6	37.710155
40	4	7	37.705757
41	4	8	37.677109
42	4	9	37.665298
43	4	10	37.687138
44	4	11	37.707081
