Point	Row	Column	110_s_MaxIntensity
1	1	1	0.79063183
2	1	2	0.83872592
3	1	3	0.87823731
4	1	4	0.90708739
5	1	5	0.92358708
6	1	6	0.92662603
7	1	7	0.91581768
8	1	8	0.8915742
9	1	9	0.85508704
10	1	10	0.80821365
11	1	11	0.7532838
12	2	1	0.85829109
13	2	2	0.90989715
14	2	3	0.95183486
15	2	4	0.98189169
16	2	5	0.99831367
17	2	6	1
18	2	7	0.98664629
19	2	8	0.95881099
20	2	9	0.91788185
21	2	10	0.8659445
22	2	11	0.80556852
23	3	1	0.80226213
24	3	2	0.84755766
25	3	3	0.88375103
26	3	4	0.90900159
27	3	5	0.92190772
28	3	6	0.92165381
29	3	7	0.9081105
30	3	8	0.88187087
31	3	9	0.84420872
32	3	10	0.79696298
33	3	11	0.74236071
34	4	1	0.65296113
35	4	2	0.68624449
36	4	3	0.71236241
37	4	4	0.73004514
38	4	5	0.73842609
39	4	6	0.73701721
40	4	7	0.72581708
41	4	8	0.70531106
42	4	9	0.67643481
43	4	10	0.64049518
44	4	11	0.59905577
